,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.2561308947703813,0.6717034347641054,0.11477672449492174,0.09370518632130533,-0.153794192864825,-0.11318144304548111,0.6680472921189724,-0.6829781945685274,0.18300566393215334,-0.0616682706281512,0.12405164911322557
volatile acidity,-0.2561308947703813,1.0,-0.5524956845595788,0.0019178819627907152,0.06129777247646137,-0.010503827006591778,0.0764700048209281,0.02202623219521644,0.234937294407392,-0.2609866852832886,-0.20228802715325628,-0.3905577802640074
citric acid,0.6717034347641054,-0.5524956845595788,1.0,0.14357716157031444,0.20382291382904227,-0.06097812919230478,0.035533023931161485,0.36494717521125225,-0.5419041447395069,0.3127700438544177,0.1099032466415669,0.22637251431804428
residual sugar,0.11477672449492174,0.0019178819627907152,0.14357716157031444,1.0,0.05560953520353226,0.18704899510428719,0.20302788169710184,0.35528337098337764,-0.08565242221887144,0.005527121339138307,0.04207543720973146,0.013731637340066528
chlorides,0.09370518632130533,0.06129777247646137,0.20382291382904227,0.05560953520353226,1.0,0.0055621470047811355,0.04740046825907507,0.20063232664151331,-0.2650261311732259,0.3712604812854269,-0.22114054478828318,-0.12890655993005384
free sulfur dioxide,-0.153794192864825,-0.010503827006591778,-0.06097812919230478,0.18704899510428719,0.0055621470047811355,1.0,0.6676664504810226,-0.02194583116348999,0.0703774985049414,0.051657571842828674,-0.06940835356499997,-0.05065605724427679
total sulfur dioxide,-0.11318144304548111,0.0764700048209281,0.035533023931161485,0.20302788169710184,0.04740046825907507,0.6676664504810226,1.0,0.07126947620310278,-0.06649455901285566,0.042946836239538315,-0.20565394374367127,-0.18510028892653999
density,0.6680472921189724,0.02202623219521644,0.36494717521125225,0.35528337098337764,0.20063232664151331,-0.02194583116348999,0.07126947620310278,1.0,-0.3416993347850293,0.1485064117207849,-0.496179770241702,-0.17491922778335173
pH,-0.6829781945685274,0.234937294407392,-0.5419041447395069,-0.08565242221887144,-0.2650261311732259,0.0703774985049414,-0.06649455901285566,-0.3416993347850293,1.0,-0.1966476023043703,0.20563250850549758,-0.0577313912053824
sulphates,0.18300566393215334,-0.2609866852832886,0.3127700438544177,0.005527121339138307,0.3712604812854269,0.051657571842828674,0.042946836239538315,0.1485064117207849,-0.1966476023043703,1.0,0.09359475041046762,0.2513970790692641
alcohol,-0.0616682706281512,-0.20228802715325628,0.1099032466415669,0.04207543720973146,-0.22114054478828318,-0.06940835356499997,-0.20565394374367127,-0.496179770241702,0.20563250850549758,0.09359475041046762,1.0,0.4761663240011401
quality,0.12405164911322557,-0.3905577802640074,0.22637251431804428,0.013731637340066528,-0.12890655993005384,-0.05065605724427679,-0.18510028892653999,-0.17491922778335173,-0.0577313912053824,0.2513970790692641,0.4761663240011401,1.0
