,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.02269729014664739,0.28918069769367233,0.08902070136217266,0.023085643656347812,-0.04939585908117313,0.09106975615864121,0.26533101383918856,-0.4258582909913831,-0.017142985021137345,-0.12088112319453316,-0.11366283071301997
volatile acidity,-0.02269729014664739,1.0,-0.14947181064857426,0.06428606009099598,0.07051157147938468,-0.09701193927796,0.08926050355177917,0.027113845462434654,-0.03191536827348932,-0.03572814690581507,0.06771794277504412,-0.19472296892113702
citric acid,0.28918069769367233,-0.14947181064857426,1.0,0.09421162429049317,0.1143644483868167,0.09407722101469426,0.12113079766441616,0.14950257057001945,-0.1637482114006219,0.06233094028523208,-0.07572873005717785,-0.00920909088397525
residual sugar,0.08902070136217266,0.06428606009099598,0.09421162429049317,1.0,0.08868453594122572,0.2990983536935158,0.4014393111599269,0.8389664549045904,-0.19413345399025722,-0.026664365853858413,-0.45063122203172834,-0.09757682889469409
chlorides,0.023085643656347812,0.07051157147938468,0.1143644483868167,0.08868453594122572,1.0,0.10139235214132895,0.19891029964505494,0.25721132043643397,-0.09043945597598206,0.01676288370817561,-0.36018871210816206,-0.20993441094676094
free sulfur dioxide,-0.04939585908117313,-0.09701193927796,0.09407722101469426,0.2990983536935158,0.10139235214132895,1.0,0.6155009650098328,0.29421041088430727,-0.0006177961403312264,0.059217245825262645,-0.2501039414835295,0.008158067123436042
total sulfur dioxide,0.09106975615864121,0.08926050355177917,0.12113079766441616,0.4014393111599269,0.19891029964505494,0.6155009650098328,1.0,0.529881323878612,0.002320971768277778,0.13456236692980916,-0.44889210206133806,-0.17473721759706443
density,0.26533101383918856,0.027113845462434654,0.14950257057001945,0.8389664549045904,0.25721132043643397,0.29421041088430727,0.529881323878612,1.0,-0.09359149345524503,0.07449314851167588,-0.7801376214255532,-0.3071233127347305
pH,-0.4258582909913831,-0.03191536827348932,-0.1637482114006219,-0.19413345399025722,-0.09043945597598206,-0.0006177961403312264,0.002320971768277778,-0.09359149345524503,1.0,0.15595149727965377,0.12143209874912882,0.09942724573666642
sulphates,-0.017142985021137345,-0.03572814690581507,0.06233094028523208,-0.026664365853858413,0.01676288370817561,0.059217245825262645,0.13456236692980916,0.07449314851167588,0.15595149727965377,1.0,-0.017432771855951597,0.05367787713279238
alcohol,-0.12088112319453316,0.06771794277504412,-0.07572873005717785,-0.45063122203172834,-0.36018871210816206,-0.2501039414835295,-0.44889210206133806,-0.7801376214255532,0.12143209874912882,-0.017432771855951597,1.0,0.43557471546137155
quality,-0.11366283071301997,-0.19472296892113702,-0.00920909088397525,-0.09757682889469409,-0.20993441094676094,0.008158067123436042,-0.17473721759706443,-0.3071233127347305,0.09942724573666642,0.05367787713279238,0.43557471546137155,1.0
